OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-09-12T19:41:10.127040,14.46148282,0.00419085,24.9708,26.4799,345.8541,145.2976,0,U,22490,999,77381,3.3233652e-05,3.07e-06,0
TECHSAT 1B (GO-32),1998-043D,2026-09-12T22:30:35.450784,14.24442506,0.00011218,99.015,250.9421,17.3116,342.81,0,U,25397,999,46382,2.9687198e-05,2.2e-07,0
SCD 2,1998-060A,2026-09-12T17:24:16.748640,14.45551819,0.0016587,24.9946,252.3043,329.1483,192.1712,0,U,25504,999,47300,4.3147862e-05,3.37e-06,0
MAROC-TUBSAT,2001-056D,2026-09-12T18:11:52.130400,13.70265541,0.00190504,99.8135,74.2989,279.2562,94.3391,0,U,27004,999,23818,8.871086e-06,-3.9e-07,0
RESURS-DK 1,2006-021A,2026-09-12T22:39:16.718400,15.13507083,0.00054809,69.9301,112.3327,215.672,144.4081,0,U,29228,999,11585,9.2767025e-05,1.556e-05,0
COSMO-SKYMED 1,2007-023A,2026-09-12T22:45:49.771872,14.97435686,0.00016047,97.8833,88.5656,93.3033,266.8372,0,U,31598,999,4292,0.00018280275,2.067e-05,0
WORLDVIEW-1 (WV-1),2007-041A,2026-09-12T22:06:42.297696,15.24590218,0.00019843,97.3872,14.4108,93.7702,266.3762,0,U,32060,999,5624,0.00018291191,4.437e-05,0
YAOGAN-3,2007-055A,2026-09-12T23:30:01.173600,14.91057655,0.00018736,97.8114,284.987,91.5831,268.5602,0,U,32289,999,1895,0.00018733494,1.799e-05,0
RADARSAT-2,2007-061A,2026-09-12T23:47:21.566112,14.29982306,0.0001261,98.5813,261.6832,82.7355,277.3971,0,U,32382,999,97850,4.7802947e-05,8e-07,0
HUANJING 1A (HJ-1A),2008-041A,2026-09-12T22:50:03.024096,14.84156248,0.00179279,97.6773,238.4476,206.5877,153.442,0,U,33320,999,97142,3.6871024e-05,2.57e-06,0
HUANJING 1B (HJ-1B),2008-041B,2026-09-12T23:04:02.000928,14.83457496,0.00346149,97.6605,241.3586,255.2402,104.4976,0,U,33321,999,97142,2.5896816e-05,1.62e-06,0
GEOEYE 1,2008-042A,2026-09-12T22:29:50.046720,14.64688757,0.00055259,98.1267,328.812,131.5811,228.5866,0,U,33331,999,96299,5.8505955e-05,2.64e-06,0
THEOS,2008-049A,2026-09-12T21:32:15.385056,14.20142448,0.00013452,98.5491,310.2958,89.247,270.8861,0,U,33396,999,93041,1.1279222e-05,-1.8e-07,0
DEIMOS-1,2009-041A,2026-09-12T22:51:05.119776,14.75313919,2.383e-05,97.7515,49.4398,59.5597,300.5636,0,U,35681,999,91982,9.1214775e-05,5.7e-06,0
